Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
03/20/2020,155,0,2,23,22,31,31,27,15,4,0,70,85,0,20,6,77,38,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
05/31/2020,120,22,16,29,19,22,11,13,5,5,0,59,60,1,41,1,37,7,0,34,0,0,0,3,2,5,7,5,0,9,13,0,9,0,8,5,0,0,City of Chicago
05/21/2020,800,34,74,177,135,120,123,77,51,43,0,416,366,18,365,23,130,52,26,204,0,0,1,0,3,13,11,6,0,14,20,0,16,1,6,11,0,0,City of Chicago
04/22/2020,1059,45,33,169,170,168,210,149,66,94,0,515,482,62,427,23,224,102,46,237,0,0,3,2,5,15,8,12,0,20,25,0,8,0,27,9,1,0,City of Chicago
03/21/2020,125,2,0,18,25,20,28,16,13,5,0,53,72,0,24,6,61,26,4,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,City of Chicago
03/31/2020,488,16,5,57,103,97,92,69,38,27,0,257,223,8,106,16,216,81,15,54,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0,City of Chicago
06/04/2020,317,15,26,90,62,54,39,27,10,8,1,159,155,3,141,4,63,22,9,78,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,City of Chicago
03/28/2020,253,4,2,29,54,38,45,38,28,19,0,138,113,2,38,6,133,43,10,23,0,0,0,0,2,0,1,1,0,1,3,0,1,0,3,0,0,0,City of Chicago
05/28/2020,516,22,41,110,87,97,69,61,28,23,0,254,254,8,207,7,111,57,14,120,0,0,0,1,5,1,4,11,0,11,11,0,11,0,6,5,0,0,City of Chicago
04/26/2020,433,51,12,84,54,96,66,57,32,32,0,228,202,3,151,18,89,59,22,94,0,1,0,4,3,13,11,19,0,22,29,0,18,2,23,8,0,0,City of Chicago
06/12/2020,245,20,32,58,42,46,28,21,8,10,0,138,103,4,128,1,38,20,6,52,0,0,1,0,3,6,7,3,0,9,11,0,11,0,6,3,0,0,City of Chicago
03/18/2020,165,1,2,31,33,41,23,18,12,5,0,81,84,0,20,8,67,62,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,City of Chicago
04/05/2020,293,26,3,31,50,49,73,42,21,24,0,127,163,3,70,11,110,54,12,36,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,City of Chicago
05/22/2020,727,34,64,155,136,125,113,74,36,24,0,371,346,10,350,10,143,59,26,139,0,0,0,0,6,9,8,11,0,16,18,0,10,2,14,8,0,0,City of Chicago
06/05/2020,337,17,33,75,71,50,49,30,18,10,1,171,165,1,173,4,46,27,11,76,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,City of Chicago
04/25/2020,637,39,32,122,121,132,106,68,32,24,0,309,326,2,264,14,107,75,24,153,0,0,2,1,6,6,11,13,0,14,25,0,12,2,19,6,0,0,City of Chicago
03/15/2020,40,0,0,3,8,9,8,5,4,3,0,13,27,0,6,4,12,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
06/07/2020,109,19,3,29,29,15,13,9,7,4,0,51,58,0,43,3,20,10,2,31,0,0,1,2,1,8,1,6,0,6,13,0,10,0,7,2,0,0,City of Chicago
07/26/2020,45,4,3,9,14,6,5,3,3,2,0,23,22,0,7,3,13,9,2,11,0,0,0,0,0,0,1,3,0,3,1,0,0,0,2,2,0,0,City of Chicago
06/28/2020,110,5,8,35,22,20,10,9,4,2,0,64,46,0,34,1,20,25,6,24,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,City of Chicago
05/24/2020,281,27,16,56,42,48,33,48,22,16,0,150,131,0,117,3,50,17,12,82,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0,City of Chicago
06/16/2020,212,11,19,60,36,32,32,21,3,9,0,119,91,2,76,5,51,21,4,55,0,1,0,2,3,1,2,2,0,5,6,0,9,0,1,1,0,0,City of Chicago
05/27/2020,609,26,68,124,98,117,83,66,31,22,0,319,279,11,300,8,102,48,21,130,0,0,2,1,1,7,7,8,0,10,16,0,10,1,10,5,0,0,City of Chicago
05/05/2020,1094,57,54,210,206,219,205,125,48,27,0,550,504,40,488,16,161,96,50,283,0,1,1,1,0,10,17,27,0,26,31,0,17,5,21,13,0,1,City of Chicago
06/15/2020,232,20,36,57,41,34,29,25,8,2,0,129,101,2,100,5,47,20,8,52,0,0,0,1,1,2,5,11,0,9,11,0,5,2,4,8,0,1,City of Chicago
05/29/2020,461,20,33,117,69,85,74,42,18,23,0,248,208,5,218,9,95,33,14,92,0,0,0,1,3,4,7,5,0,12,8,0,6,0,11,2,1,0,City of Chicago
04/17/2020,781,43,16,130,126,145,146,118,49,51,0,387,381,13,284,23,205,113,47,109,0,0,1,2,5,7,13,15,0,14,29,0,11,2,18,11,0,1,City of Chicago
05/30/2020,241,21,23,56,40,43,40,23,11,5,0,132,107,2,98,3,47,20,11,62,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,City of Chicago
04/18/2020,537,39,13,89,101,96,92,81,44,21,0,243,289,5,180,18,161,57,22,99,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,City of Chicago
