Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
06/08/2020,218,15,11,47,37,42,34,21,15,11,0,113,99,6,85,3,35,26,12,57,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0
04/16/2020,670,31,8,116,115,116,119,93,61,42,0,311,351,8,228,14,196,90,28,114,0,0,0,2,2,7,8,12,0,14,17,0,5,3,16,7,0,0
06/09/2020,225,20,15,42,29,41,42,34,12,10,0,108,113,4,76,4,31,30,12,72,0,0,0,1,6,4,3,6,0,5,15,0,10,0,7,3,0,0
04/13/2020,678,33,10,100,112,124,156,86,51,39,0,342,332,4,233,24,203,92,30,96,0,0,1,5,3,8,7,9,0,15,18,0,11,2,17,3,0,0
04/30/2020,1250,37,57,225,221,221,183,149,93,101,0,608,615,27,526,18,192,142,50,322,0,0,3,0,3,8,11,12,0,16,21,0,13,1,16,6,0,1
06/20/2020,72,7,11,17,9,13,11,3,4,3,1,42,30,0,34,1,9,14,6,8,0,0,1,0,1,2,1,2,0,2,5,0,6,0,1,0,0,0
06/12/2020,199,20,16,50,33,39,27,16,9,9,0,113,82,4,82,1,29,13,11,63,0,0,1,0,3,7,6,3,0,9,11,0,9,0,8,3,0,0
05/10/2020,305,39,17,58,52,65,42,40,14,17,0,139,165,1,120,7,61,37,14,66,0,0,1,3,2,11,8,14,0,15,24,0,14,2,15,7,1,0
06/04/2020,282,14,21,81,55,49,34,24,9,8,1,142,135,5,102,5,63,20,8,84,0,0,2,1,0,6,4,1,0,5,9,0,6,1,7,0,0,0
05/12/2020,939,46,64,177,177,182,161,93,49,36,0,487,447,5,435,11,155,90,20,228,0,0,4,2,4,10,7,19,0,12,34,0,20,2,19,5,0,0
